CPUtime
103354.760381735
11648.984309726
88579.306341032
16688.01510346
37137.96354747
12630.994448551
21942.346502542
23949.375026384
39287.796202476
29822.147601027
51589.342317181
34831.465925074
29394.463493788
67926.502059791
18935.630572383
31456.993676184
