analysis
bT1
net1_snaq
newtry1
timetest01_snaq
timetest02_snaq
timetest03_snaq
timetest04_snaq
timetest05_snaq
timetest06_snaq
timetest07_snaq
timetest08_snaq
timetest09_snaq
timetest10_snaq
timetest11_snaq
timetest12_snaq
timetest13_snaq
